symbol,name,ranknow
BTC,Bitcoin,1
ETH,Ethereum,2
XRP,Ripple,3
BCH,Bitcoin Cash,4
ADA,Cardano,5
LTC,Litecoin,6
NEO,NEO,7
XLM,Stellar,8
EOS,EOS,9
MIOTA,IOTA,10
XEM,NEM,11
DASH,Dash,12
XMR,Monero,13
LSK,Lisk,14
TRX,TRON,15
BTG,Bitcoin Gold,16
ETC,Ethereum Classic,17
USDT,Tether,18
QTUM,Qtum,19
VEN,VeChain,20
ICX,ICON,21
XRB,Nano,22
ZEC,Zcash,23
PPT,Populous,24
OMG,OmiseGO,25
STEEM,Steem,26
BNB,Binance Coin,27
BCN,Bytecoin,28
XVG,Verge,29
SNT,Status,30
SC,Siacoin,31
STRAT,Stratis,32
AE,Aeternity,33
BTS,BitShares,34
MKR,Maker,35
REP,Augur,36
DGD,DigixDAO,37
WAVES,Waves,38
WTC,Walton,39
ZRX,0x,40
VERI,Veritaseum,41
DOGE,Dogecoin,42
DCR,Decred,43
HSR,Hshare,44
KCS,KuCoin Shares,45
ARDR,Ardor,46
RHOC,RChain,47
KMD,Komodo,48
R,Revain,49
KNC,Kyber Network,50
ETN,Electroneum,51
ARK,Ark,52
GAS,Gas,53
DRGN,Dragonchain,54
ZIL,Zilliqa,55
BAT,Basic Attention Token,56
DGB,DigiByte,57
LRC,Loopring,58
DCN,Dentacoin,59
ELF,aelf,60
BTM,Bytom,61
PIVX,PIVX,62
ETHOS,Ethos,63
ECN,E-coin,64
ZCL,ZClassic,65
GBYTE,Byteball Bytes,66
PLR,Pillar,67
QASH,QASH,68
NAS,Nebulas,69
FUN,FunFair,70
GNT,Golem,71
CNX,Cryptonex,72
CND,Cindicator,73
DENT,Dent,74
SYS,Syscoin,75
BTX,Bitcore,76
IOST,IOStoken,77
GXS,GXShares,78
POWR,Power Ledger,79
SALT,SALT,80
FCT,Factom,81
AION,Aion,82
KIN,Kin,83
MONA,MonaCoin,84
SMART,SmartCash,85
XZC,ZCoin,86
ENG,Enigma,87
PART,Particl,88
BNT,Bancor,89
QSP,Quantstamp,90
AGI,SingularityNET,91
NXT,Nxt,92
MAID,MaidSafeCoin,93
REQ,Request Network,94
RDD,ReddCoin,95
IGNIS,Ignis,96
XPA,XPlay,97
NXS,Nexus,98
PAY,TenX,99
XP,Experience Points,100
ICN,Iconomi,101
WAX,WAX,102
CVC,Civic,103
EMC,Emercoin,104
GNO,Gnosis,105
NEBL,Neblio,106
GAME,GameCredits,107
SUB,Substratum,108
LINK,ChainLink,109
RDN,Raiden Network Token,110
PPP,PayPie,111
VTC,Vertcoin,112
BTCD,BitcoinDark,113
HPB,High Performance Blockchain,114
BLOCK,Blocknet,115
MED,MediBloc,116
STORJ,Storj,117
BLZ,Bluzelle,118
UNITY,SuperNET,119
ACT,Achain,120
XDN,DigitalNote,121
DEW,DEW,122
ZEN,ZenCash,123
POE,Po.et,124
ANT,Aragon,125
MANA,Decentraland,126
SKY,Skycoin,127
HTML,HTMLCOIN,128
TNB,Time New Bank,129
ENJ,Enjin Coin,130
STORM,Storm,131
SRN,SIRIN LABS Token,132
RLC,iExec RLC,133
DTR,Dynamic Trading Rights,134
SAN,Santiment Network Token,135
UBQ,Ubiq,136
BIX,Bibox Token,137
VEE,BLOCKv,138
AGRS,Agoras Tokens,139
RPX,Red Pulse,140
BCO,BridgeCoin,141
AST,AirSwap,142
MCO,Monaco,143
VIBE,VIBE,144
COB,Cobinhood,145
ITC,IoT Chain,146
NAV,NAV Coin,147
C20,CRYPTO20,148
SPHTX,SophiaTX,149
LEND,ETHLend,150
XAS,Asch,151
RCN,Ripio Credit Network,152
MDS,MediShares,153
SNGLS,SingularDTV,154
PPC,Peercoin,155
DBC,DeepBrain Chain,156
XBY,XTRABYTES,157
MTL,Metal,158
AMB,Ambrosus,159
OST,Simple Token,160
UTK,UTRUST,161
THETA,Theta Token,162
CMT,CyberMiles,163
EMC2,Einsteinium,164
EDG,Edgeless,165
SNM,SONM,166
QRL,Quantum Resistant Ledger,167
BAY,BitBay,168
PAC,PACcoin,169
TEL,Telcoin,170
TNC,Trinity Network Credit,171
WABI,WaBi,172
NULS,Nuls,173
XCP,Counterparty,174
ADX,AdEx,175
CTR,Centra,176
SPANK,SpankChain,177
INS,INS Ecosystem,178
VIA,Viacoin,179
NLG,Gulden,180
APPC,AppCoins,181
MLN,Melon,182
MGO,MobileGo,183
ECA,Electra,184
DATA,Streamr DATAcoin,185
EDO,Eidoo,186
ATM,ATMChain,187
ION,ION,188
WGR,Wagerr,189
UKG,Unikoin Gold,190
FUEL,Etherparty,191
TNT,Tierion,192
MOD,Modum,193
QLC,QLINK,194
ETP,Metaverse ETP,195
INT,Internet Node Token,196
WINGS,Wings,197
PRL,Oyster,198
LBC,LBRY Credits,199
NGC,NAGA,200
GVT,Genesis Vision,201
TRIG,Triggers,202
IDH,indaHash,203
BRD,Bread,204
AEON,Aeon,205
TRAC,OriginTrail,206
DNT,district0x,207
HST,Decision Token,208
BURST,Burst,209
ECC,ECC,210
MNX,MinexCoin,211
ADT,adToken,212
CDT,CoinDash,213
CLOAK,CloakCoin,214
DCT,DECENT,215
OCN,Odyssey,216
CAPP,Cappasity,217
ONION,DeepOnion,218
MER,Mercury,219
SOC,All Sports,220
BDG,BitDegree,221
CV,carVertical,222
DAT,Datum,223
LKK,Lykke,224
GTO,Gifto,225
SLS,SaluS,226
COSS,COSS,227
TKN,TokenCard,228
LUN,Lunyr,229
HVN,Hive,230
GRS,Groestlcoin,231
PURA,Pura,232
VIB,Viberate,233
GRID,Grid+,234
PRE,Presearch,235
TAAS,TaaS,236
SXDT,Spectre.ai Dividend Token,237
DPY,Delphy,238
QBT,Qbao,239
1ST,FirstBlood,240
CRW,Crown,241
SAFEX,Safe Exchange Coin,242
TSL,Energo,243
THC,HempCoin,244
INK,Ink,245
FTC,Feathercoin,246
NMC,Namecoin,247
XSPEC,Spectrecoin,248
IOC,I/O Coin,249
VOX,Voxels,250
BITCNY,bitCNY,251
TRST,WeTrust,252
MOON,Mooncoin,253
CFI,Cofound.it,254
SWFTC,SwftCoin,255
POT,PotCoin,256
SHIFT,Shift,257
DMD,Diamond,258
IPL,InsurePal,259
BLT,Bloom,260
MTH,Monetha,261
YOYOW,YOYOW,262
NET,Nimiq,263
PEPECASH,Pepe Cash,264
TIX,Blocktix,265
ZSC,Zeusshield,266
SIB,SIBCoin,267
HMQ,Humaniq,268
SBD,Steem Dollars,269
COLX,ColossusCoinXT,270
KEY,Selfkey,271
DIME,Dimecoin,272
EVX,Everex,273
WRC,Worldcore,274
TIO,Trade Token,275
XWC,WhiteCoin,276
KRM,Karma,277
DLT,Agrello,278
ART,Maecenas,279
AMP,Synereo,280
SNC,SunContract,281
IXT,iXledger,282
VRC,VeriCoin,283
TAU,Lamden,284
FAIR,FairCoin,285
CAT,BitClave,286
PASC,Pascal Coin,287
FLASH,Flash,288
LA,LAToken,289
PKT,Playkey,290
LEO,LEOcoin,291
XSH,SHIELD,292
UNO,Unobtanium,293
MOT,Olympus Labs,294
NLC2,NoLimitCoin,295
MDA,Moeda Loyalty Points,296
ORME,Ormeus Coin,297
PHR,Phore,298
XEL,Elastic,299
DRT,DomRaider,300
PRO,Propy,301
BITB,Bean Cash,302
GRC,GridCoin,303
BOT,Bodhi,304
BLK,BlackCoin,305
NEU,Neumark,306
EXP,Expanse,307
GUP,Matchpool,308
QUN,QunQun,309
COV,Covesting,310
CAN,CanYaCoin,311
POSW,PoSW Coin,312
GTC,Game.com,313
MSP,Mothership,314
BCPT,BlockMason Credit Protocol,315
ARN,Aeron,316
MYB,MyBit Token,317
HGT,HelloGold,318
DNA,EncrypGen,319
SOAR,Soarcoin,320
SWT,Swarm City,321
BBR,Boolberry,322
SLR,SolarCoin,323
RISE,Rise,324
UNIT,Universal Currency,325
OTN,Open Trading Network,326
